timestamp,series_ticker,window_open,window_close,btc_price_at_open,kalshi_ticker,direction,side,num_contracts,contract_price_cents,bet_size_dollars,signal_vol_direction,signal_vol_strength,signal_momentum_direction,signal_momentum_strength,signal_crowd_direction,signal_crowd_strength,signal_funding_direction,signal_funding_strength,combined_direction,combined_strength,signal_reasons,paper_trade,outcome,btc_price_at_close,pnl_dollars
2026-04-16T21:25:31.285192+00:00,KXBTC15M,2026-04-16T21:15:00+00:00,2026-04-16T21:30:00+00:00,74973.99,KXBTC15M-26APR161730-30,NO,no,3,50.0,1.50,PASS,0.076,NO,0.667,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.433,"volatility OK (41.9% ann vol, above 15th pct) | momentum NO (2/3 agree): 5m=NO, 15m=NO, 60m=YES | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000010)",True,WIN,74896.26,1.50
2026-04-16T21:40:31.313392+00:00,KXBTC15M,2026-04-16T21:30:00+00:00,2026-04-16T21:45:00+00:00,74967.30,KXBTC15M-26APR161745-45,YES,yes,3,50.0,1.50,PASS,0.419,YES,0.667,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.433,"volatility OK (54.1% ann vol, above 15th pct) | momentum YES (2/3 agree): 5m=YES, 15m=NO, 60m=YES | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000013)",True,LOSS,74950.10,-1.50
2026-04-16T23:25:18.850674+00:00,KXBTC15M,2026-04-16T23:15:00+00:00,2026-04-16T23:30:00+00:00,75023.33,KXBTC15M-26APR161930-30,YES,yes,4,50.0,2.00,PASS,0.009,YES,1.000,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.650,"volatility OK (23.9% ann vol, above 15th pct) | momentum YES (3/3 agree): 5m=YES, 15m=YES, 60m=YES | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000020)",True,WIN,75041.99,2.00
2026-04-16T23:40:46.733461+00:00,KXBTC15M,2026-04-16T23:30:00+00:00,2026-04-16T23:45:00+00:00,75149.02,KXBTC15M-26APR161945-45,YES,yes,4,50.0,2.00,PASS,0.374,YES,1.000,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.650,"volatility OK (37.3% ann vol, above 15th pct) | momentum YES (3/3 agree): 5m=YES, 15m=YES, 60m=YES | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000021)",True,WIN,75162.00,2.00
2026-04-16T23:55:12.486859+00:00,KXBTC15M,2026-04-16T23:45:00+00:00,2026-04-17T00:00:00+00:00,75071.51,KXBTC15M-26APR162000-00,YES,yes,3,50.0,1.50,PASS,0.329,YES,0.667,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.433,"volatility OK (35.0% ann vol, above 15th pct) | momentum YES (2/3 agree): 5m=NO, 15m=YES, 60m=YES | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000024)",True,WIN,75161.56,1.50
2026-04-16T23:55:12.492869+00:00,KXBTC,2026-04-16T23:00:00+00:00,2026-04-17T00:00:00+00:00,75071.51,KXBTC-26APR1620-T83299.99,YES,yes,3,50.0,1.50,PASS,0.329,YES,0.667,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.433,"volatility OK (35.0% ann vol, above 15th pct) | momentum YES (2/3 agree): 5m=NO, 15m=YES, 60m=YES | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000024)",True,WIN,75161.56,1.50
2026-04-17T00:10:39.877466+00:00,KXBTC15M,2026-04-17T00:00:00+00:00,2026-04-17T00:15:00+00:00,74995.78,KXBTC15M-26APR162015-15,NO,no,3,50.0,1.50,PASS,0.223,NO,0.667,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.433,"volatility OK (31.3% ann vol, above 15th pct) | momentum NO (2/3 agree): 5m=NO, 15m=NO, 60m=YES | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000024)",True,WIN,74969.74,1.50
2026-04-17T00:25:05.735098+00:00,KXBTC15M,2026-04-17T00:15:00+00:00,2026-04-17T00:30:00+00:00,74920.02,KXBTC15M-26APR162030-30,NO,no,3,50.0,1.50,PASS,0.086,NO,0.667,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.433,"volatility OK (26.5% ann vol, above 15th pct) | momentum NO (2/3 agree): 5m=NO, 15m=NO, 60m=YES | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000024)",True,LOSS,75068.99,-1.50
2026-04-17T00:40:32.527881+00:00,KXBTC15M,2026-04-17T00:30:00+00:00,2026-04-17T00:45:00+00:00,75016.80,KXBTC15M-26APR162045-45,YES,yes,3,50.0,1.50,PASS,0.161,YES,0.667,NEUTRAL,0.000,NEUTRAL,0.000,YES,0.433,"volatility OK (28.1% ann vol, above 15th pct) | momentum YES (2/3 agree): 5m=NO, 15m=YES, 60m=YES | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000027)",True,LOSS,74980.72,-1.50
2026-04-17T01:40:52.790691+00:00,KXBTC15M,2026-04-17T01:30:00+00:00,2026-04-17T01:45:00+00:00,74816.57,KXBTC15M-26APR162145-45,NO,no,3,50.0,1.50,PASS,0.370,NO,0.667,NEUTRAL,0.000,NEUTRAL,0.000,NO,0.433,"volatility OK (35.2% ann vol, above 15th pct) | momentum NO (2/3 agree): 5m=YES, 15m=NO, 60m=NO | crowd neutral (50% implied) — no fade signal | perp funding neutral (-0.000049)",True,WIN,74743.06,1.50
